governorate,year,residential_price_per_m2,commercial_price_per_m2,land_price_per_m2
Tunis,2019,2500,4500,800
Tunis,2020,2650,4200,850
Tunis,2021,2800,4000,900
Tunis,2022,3200,4800,1100
Tunis,2023,3500,5200,1250
Tunis,2024,3800,5600,1400
Ariana,2019,2200,3800,650
Ariana,2020,2350,3600,700
Ariana,2021,2500,3400,750
Ariana,2022,2850,4100,950
Ariana,2023,3100,4400,1050
Ariana,2024,3350,4700,1150
Sfax,2019,1800,3200,500
Sfax,2020,1900,3000,530
Sfax,2021,2000,2900,560
Sfax,2022,2300,3500,700
Sfax,2023,2500,3800,780
Sfax,2024,2700,4100,850
Sousse,2019,1900,3300,520
Sousse,2020,2000,3100,550
Sousse,2021,2100,3000,580
Sousse,2022,2400,3600,720
Sousse,2023,2600,3900,800
Sousse,2024,2800,4200,870
Nabeul,2019,1700,2900,450
Nabeul,2020,1800,2700,480
Nabeul,2021,1900,2600,510
Nabeul,2022,2150,3100,630
Nabeul,2023,2350,3400,700
Nabeul,2024,2550,3700,770
Monastir,2019,1750,3000,460
Monastir,2020,1850,2800,490
Monastir,2021,1950,2700,520
Monastir,2022,2200,3200,650
Monastir,2023,2400,3500,720
Monastir,2024,2600,3800,790
Bizerte,2019,1400,2400,350
Bizerte,2020,1480,2250,370
Bizerte,2021,1560,2150,390
Bizerte,2022,1780,2600,480
Bizerte,2023,1950,2850,530
Bizerte,2024,2120,3100,580
Gabes,2019,1200,2000,280
Gabes,2020,1270,1900,300
Gabes,2021,1340,1850,320
Gabes,2022,1520,2200,390
Gabes,2023,1680,2400,430
Gabes,2024,1840,2600,470
Kairouan,2019,900,1500,200
Kairouan,2020,950,1400,210
Kairouan,2021,1000,1350,220
Kairouan,2022,1150,1600,270
Kairouan,2023,1280,1750,300
Kairouan,2024,1410,1900,330
Gafsa,2019,800,1300,180
Gafsa,2020,850,1250,190
Gafsa,2021,900,1200,200
Gafsa,2022,1030,1450,240
Gafsa,2023,1150,1600,270
Gafsa,2024,1270,1750,300
