name,arabic_name,latitude,longitude,population_2024,area_km2,unemployment_rate,agricultural_land_percent,population_density,labor_force_size,gdp_contribution,coastal_access,industrial_zones,tourist_attractions
Tunis,تونس,36.8065,10.1815,1200000,346,12.5,15.2,3468,450000,25.3,1,8,12
Ariana,أريانة,36.8625,10.1944,650000,482,11.2,18.5,1349,280000,8.7,1,4,5
Ben Arous,بن عروس,36.7472,10.2281,700000,761,13.8,25.4,920,300000,12.1,1,6,8
Manouba,منوبة,36.8081,10.0969,420000,1137,14.2,35.7,369,180000,5.2,0,3,4
Nabeul,نابل,36.4561,10.7376,800000,2788,10.9,42.1,287,350000,15.8,1,5,25
Zaghouan,زغوان,36.4031,10.1425,190000,2768,16.8,52.3,69,85000,2.1,0,2,6
Bizerte,بنزرت,37.2744,9.8739,600000,3685,15.4,38.9,163,260000,8.9,1,4,18
Beja,باجة,36.7256,9.1844,300000,3740,18.2,65.4,80,120000,3.5,0,1,8
Jendouba,جندوبة,36.5011,8.7803,400000,3102,19.5,48.7,129,160000,4.2,0,2,12
Le Kef,الكاف,36.1742,8.7047,240000,4965,21.3,58.9,48,95000,2.8,0,1,7
Siliana,سليانة,36.0867,9.3703,220000,4631,20.8,61.2,48,90000,2.4,0,1,5
Kairouan,القيروان,35.6781,10.0963,570000,6712,17.9,45.6,85,230000,6.8,0,3,15
Kasserine,القصرين,35.1675,8.8367,430000,8066,23.1,39.8,53,160000,3.9,0,2,9
Sidi Bouzid,سيدي بوزيد,35.0381,9.4839,420000,7405,22.5,58.7,57,170000,4.1,0,1,6
Sousse,سوسة,35.8256,10.6369,750000,2621,9.8,28.4,286,320000,18.5,1,7,22
Monastir,المنستير,35.7643,10.8265,550000,1019,8.9,31.2,540,240000,12.3,1,5,20
Mahdia,المهدية,35.5047,11.0622,450000,2966,12.4,35.8,152,190000,9.2,1,3,15
Sfax,صفاقس,34.7406,10.7603,980000,7545,11.7,28.9,130,420000,22.1,1,12,18
Gafsa,قفصة,34.4250,8.7842,350000,8990,24.6,18.5,39,140000,8.9,0,4,8
Tozeur,توزر,33.9197,8.1335,110000,5593,19.7,12.4,20,45000,1.8,0,1,12
Kebili,قبلي,33.7047,8.9694,160000,22454,21.4,8.9,7,65000,1.2,0,1,8
Gabes,قابس,33.8815,10.0982,380000,7175,16.8,22.1,53,160000,7.4,1,3,14
Medenine,مدنين,33.3548,10.5055,480000,8588,18.9,15.7,56,200000,5.8,1,2,16
Tataouine,تطاوين,32.9297,10.4517,150000,38889,25.2,12.3,4,55000,1.1,0,1,9
